
################################################################################
#
# This file has been generated by SpyGlass:
#     Report Name      : Block_Summary.csv
#     Report Created by: ICer
#     Report Created on:  Sun Aug 24 23:40:04 2025
#     Working Directory: /home/ICer/Projects/Digital_System(RTL-to-GDSII)/spyglass/runs
#     SpyGlass Version : SpyGlass_vL-2016.06
#     Policy Name      : clock-reset(SpyGlass_vL-2016.06)
#
################################################################################
Set-Case-Analysis,0 
Assume-path,0 
CDC-False-Path,0 
Total Time,2 
Total flat instances,0 
Clocks,2 
Domains,2 
BB Clocks,0 
Resets,1 
BB Resets,0 
Clock re-definitions(Clock_check07),0 
